CustomerID,Rank,StockCode,IsHit
12347,1,23084,1
12347,2,21731,1
12347,3,20719,1
12347,4,21035,0
12347,5,21832,0
12347,6,22728,0
12347,7,21259,0
12347,8,85175,0
12347,9,21544,0
12347,10,23229,0
12349,1,22960,1
12349,2,48185,1
12349,3,20914,1
12349,4,22131,1
12349,5,84978,1
12349,6,22692,1
12349,7,23198,1
12349,8,21232,1
12349,9,22722,1
12349,10,85014A,1
12356,1,22423,1
12356,2,21843,1
12356,3,22937,0
12356,4,20674,0
12356,5,20749,0
12356,6,22026,0
12356,7,21165,0
12356,8,85062,0
12356,9,48116,0
12356,10,21746,0
12358,1,15056P,1
12358,2,22059,1
12358,3,20679,1
12358,4,15056BL,1
12358,5,POST,1
12358,6,15056N,1
12358,7,22646,1
12358,8,84380,0
12358,9,23346,0
12358,10,22737,0
12362,1,23389,1
12362,2,85099B,1
12362,3,23203,1
12362,4,22328,1
12362,5,23256,1
12362,6,20750,1
12362,7,POST,1
12362,8,23254,1
12362,9,23080,0
12362,10,85014B,0
12364,1,22908,1
12364,2,POST,1
12364,3,22613,1
12364,4,22045,1
12364,5,16156S,1
12364,6,22907,1
12364,7,21499,1
12364,8,21508,1
12364,9,22716,1
12364,10,21500,1
12367,1,22045,1
12367,2,22630,1
12367,3,85227,1
12367,4,16237,1
12367,5,22629,1
12367,6,22631,1
12367,7,21770,1
12367,8,POST,1
12367,9,22169,0
12367,10,84970S,0
12374,1,23354,1
12374,2,22113,1
12374,3,22739,1
12374,4,22112,1
12374,5,23320,1
12374,6,22423,1
12374,7,22956,1
12374,8,72741,1
12374,9,22144,1
12374,10,22644,1
12375,1,23200,1
12375,2,23203,1
12375,3,POST,1
12375,4,20712,1
12375,5,21930,1
12375,6,85099C,1
12375,7,22537,0
12375,8,21179,0
12375,9,22672,0
12375,10,20972,0
12380,1,21731,1
12380,2,POST,1
12380,3,20726,1
12380,4,22326,1
12380,5,20685,1
12380,6,22382,1
12380,7,22467,1
12380,8,21931,1
12380,9,22668,1
12380,10,23201,0
12381,1,22720,1
12381,2,22423,1
12381,3,23084,1
12381,4,POST,1
12381,5,21481,0
12381,6,22965,0
12381,7,21212,1
12381,8,22417,1
12381,9,21976,1
12381,10,23184,0
12388,1,22910,1
12388,2,22086,1
12388,3,22669,1
12388,4,22429,0
12388,5,23318,0
12388,6,20914,0
12388,7,22241,0
12388,8,85099C,0
12388,9,23012,0
12388,10,21238,0
12391,1,20675,1
12391,2,22371,1
12391,3,47566,1
12391,4,23197,1
12391,5,85123A,1
12391,6,22759,1
12391,7,22563,1
12391,8,22562,1
12391,9,20674,1
12391,10,23198,1
12395,1,21975,1
12395,2,23389,1
12395,3,POST,1
12395,4,22630,1
12395,5,21559,1
12395,6,23084,1
12395,7,22629,1
12395,8,20719,1
12395,9,22326,1
12395,10,22356,1
12406,1,22556,1
12406,2,21544,1
12406,3,22620,1
12406,4,84375,1
12406,5,23084,1
12406,6,84997A,1
12406,7,22964,1
12406,8,23256,1
12406,9,84997C,1
12406,10,22553,1
12415,1,22630,1
12415,2,22331,1
12415,3,23084,1
12415,4,23192,1
12415,5,23206,1
12415,6,22662,1
12415,7,22631,1
12415,8,21731,1
12415,9,21770,1
12415,10,22326,1
12417,1,22666,1
12417,2,21135,1
12417,3,16161P,1
12417,4,22624,1
12417,5,POST,1
12417,6,22915,1
12417,7,23173,1
12417,8,23175,1
12417,9,23170,1
12417,10,23174,1
12421,1,47567B,1
12421,2,POST,1
12421,3,23311,1
12421,4,21907,1
12421,5,23234,1
12421,6,22244,0
12421,7,22466,0
12421,8,47599B,0
12421,9,22171,0
12421,10,22424,0
12423,1,23204,1
12423,2,POST,1
12423,3,20724,1
12423,4,22367,0
12423,5,20719,0
12423,6,21135,0
12423,7,84945,1
12423,8,20718,1
12423,9,22151,1
12423,10,22915,1
12427,1,21328,1
12427,2,POST,1
12427,3,22367,0
12427,4,22634,1
12427,5,22973,0
12427,6,23084,1
12427,7,21218,0
12427,8,22431,0
12427,9,22440,0
12427,10,23288,0
12428,1,22192,1
12428,2,POST,1
12428,3,20712,1
12428,4,85099B,1
12428,5,23203,1
12428,6,22386,1
12428,7,22385,1
12428,8,21115,1
12428,9,20979,0
12428,10,85053,0
12429,1,22725,1
12429,2,22730,1
12429,3,22727,1
12429,4,22726,1
12429,5,22728,1
12429,6,82582,1
12429,7,22467,0
12429,8,23236,0
12429,9,21914,1
12429,10,21731,1
12433,1,23184,1
12433,2,82600,1
12433,3,22693,1
12433,4,23002,1
12433,5,21871,1
12433,6,22628,1
12433,7,23198,1
12433,8,21479,1
12433,9,22112,1
12433,10,23240,1
12437,1,23084,1
12437,2,21989,1
12437,3,POST,1
12437,4,21987,1
12437,5,21731,1
12437,6,84378,0
12437,7,22551,1
12437,8,22417,0
12437,9,22435,1
12437,10,22333,1
12438,1,22423,1
12438,2,22467,1
12438,3,23289,1
12438,4,22326,1
12438,5,22636,1
12438,6,21481,1
12438,7,21914,1
12438,8,23291,1
12438,9,21232,1
12438,10,22635,1
12442,1,21981,1
12442,2,21982,1
12442,3,21980,1
12442,4,21121,1
12442,5,22090,1
12442,6,21094,1
12442,7,POST,1
12442,8,21974,1
12442,9,21086,1
12442,10,84029E,0
12444,1,82482,1
12444,2,22720,1
12444,3,22847,1
12444,4,85053,1
12444,5,POST,1
12444,6,22624,1
12444,7,22626,1
12444,8,23118,0
12444,9,22863,0
12444,10,23165,0
12445,1,POST,1
12445,2,79321,0
12445,3,22846,0
12445,4,23089,0
12445,5,22907,0
12445,6,21068,0
12445,7,22244,0
12445,8,22567,0
12445,9,21830,0
12445,10,23076,0
12449,1,20726,1
12449,2,20750,1
12449,3,21218,1
12449,4,22759,1
12449,5,22326,1
12449,6,23241,1
12449,7,23240,1
12449,8,22728,1
12449,9,22625,1
12449,10,23342,1
12451,1,22045,1
12451,2,23231,1
12451,3,22704,1
12451,4,22303,1
12451,5,22382,1
12451,6,22467,1
12451,7,22551,1
12451,8,22908,1
12451,9,22915,1
12451,10,22098,1
12452,1,22144,1
12452,2,23084,1
12452,3,22781,1
12452,4,23076,1
12452,5,22086,1
12452,6,22083,1
12452,7,23254,1
12452,8,POST,1
12452,9,23256,1
12452,10,22467,1
12462,1,22784,1
12462,2,37449,1
12462,3,POST,1
12462,4,21232,1
12462,5,22061,1
12462,6,22423,1
12462,7,22890,1
12462,8,21231,1
12462,9,20749,0
12462,10,21078,0
12464,1,22624,1
12464,2,22847,1
12464,3,POST,1
12464,4,22846,1
12464,5,22625,1
12464,6,22665,0
12464,7,22413,0
12464,8,22090,0
12464,9,22951,0
12464,10,22432,0
12465,1,POST,1
12465,2,22144,1
12465,3,84945,1
12465,4,22909,1
12465,5,22142,1
12465,6,22329,1
12465,7,22326,1
12465,8,22602,1
12465,9,22139,1
12465,10,22940,1
12471,1,22551,1
12471,2,23294,1
12471,3,23158,1
12471,4,23108,1
12471,5,23197,1
12471,6,22419,1
12471,7,23289,1
12471,8,23254,1
12471,9,22621,1
12471,10,22556,1
12474,1,23389,1
12474,2,20724,1
12474,3,22556,1
12474,4,22326,1
12474,5,22090,1
12474,6,20711,1
12474,7,22271,1
12474,8,23292,1
12474,9,22355,1
12474,10,20682,1
12476,1,22077,1
12476,2,22979,1
12476,3,82484,1
12476,4,21137,1
12476,5,22781,1
12476,6,23245,1
12476,7,POST,1
12476,8,84879,1
12476,9,22467,1
12476,10,22619,0
12477,1,23110,1
12477,2,22111,1
12477,3,48185,1
12477,4,22173,1
12477,5,22505,1
12477,6,22378,1
12477,7,22840,1
12477,8,21212,1
12477,9,22625,1
12477,10,22191,1
12478,1,23389,1
12478,2,22111,1
12478,3,22584,1
12478,4,20982,1
12478,5,22326,1
12478,6,23254,1
12478,7,20685,1
12478,8,20728,1
12478,9,22327,1
12478,10,20750,1
12479,1,21216,1
12479,2,21988,1
12479,3,21989,1
12479,4,21987,1
12479,5,84992,1
12479,6,POST,1
12479,7,21212,1
12479,8,23243,1
12479,9,20978,1
12479,10,22720,1
12480,1,22111,1
12480,2,22629,1
12480,3,22326,1
12480,4,21481,1
12480,5,22895,1
12480,6,22303,1
12480,7,22907,1
12480,8,20719,0
12480,9,21871,0
12480,10,POST,1
12481,1,22620,1
12481,2,22556,1
12481,3,POST,1
12481,4,21156,1
12481,5,22427,0
12481,6,84692,0
12481,7,22925,0
12481,8,23204,0
12481,9,22624,0
12481,10,23206,0
12483,1,21731,1
12483,2,22467,1
12483,3,23084,1
12483,4,22328,1
12483,5,POST,1
12483,6,22743,0
12483,7,21340,0
12483,8,21363,0
12483,9,22839,0
12483,10,22666,0
12488,1,23084,1
12488,2,22175,1
12488,3,22992,1
12488,4,20750,1
12488,5,20749,1
12488,6,22748,1
12488,7,22139,1
12488,8,21084,0
12488,9,22644,1
12488,10,22991,1
12490,1,23204,1
12490,2,22898,1
12490,3,20724,1
12490,4,22326,1
12490,5,20726,1
12490,6,22379,1
12490,7,22090,1
12490,8,22704,1
12490,9,22302,1
12490,10,22619,1
12494,1,POST,1
12494,2,22890,1
12494,3,23084,1
12494,4,22662,0
12494,5,21937,0
12494,6,22398,1
12494,7,84596F,1
12494,8,21981,1
12494,9,84596B,1
12494,10,22433,0
12498,1,22175,1
12498,2,POST,1
12498,3,23204,1
12498,4,23206,1
12498,5,23207,1
12498,6,22355,1
12498,7,20719,1
12498,8,20726,1
12498,9,20728,1
12498,10,22624,0
12500,1,POST,1
12500,2,85099C,0
12500,3,84997D,0
12500,4,20749,0
12500,5,47590B,0
12500,6,21980,0
12500,7,21355,0
12500,8,22494,0
12500,9,22921,0
12500,10,23110,0
12504,1,22776,1
12504,2,22940,0
12504,3,23284,0
12504,4,21212,0
12504,5,22131,0
12504,6,84945,0
12504,7,84347,0
12504,8,21713,0
12504,9,82578,0
12504,10,22089,0
12508,1,22619,1
12508,2,22139,1
12508,3,22219,1
12508,4,46000S,1
12508,5,22577,0
12508,6,82482,1
12508,7,22507,1
12508,8,20724,1
12508,9,22544,1
12508,10,20719,1
12517,1,21212,1
12517,2,21232,1
12517,3,21213,1
12517,4,22379,1
12517,5,23309,1
12517,6,POST,1
12517,7,21977,1
12517,8,22417,1
12517,9,21731,1
12517,10,20974,1
12518,1,23389,1
12518,2,23084,1
12518,3,22326,1
12518,4,22328,1
12518,5,22551,1
12518,6,22556,1
12518,7,21559,1
12518,8,POST,1
12518,9,22534,0
12518,10,22636,0
12523,1,21531,1
12523,2,21844,1
12523,3,22423,1
12523,4,22759,0
12523,5,23035,0
12523,6,22866,0
12523,7,23175,1
12523,8,23163,1
12523,9,23245,1
12523,10,23174,1
12524,1,POST,1
12524,2,22974,0
12524,3,20725,0
12524,4,21238,0
12524,5,22327,1
12524,6,21932,0
12524,7,23133,0
12524,8,22227,0
12524,9,22771,0
12524,10,22293,0
12526,1,22326,1
12526,2,POST,1
12526,3,22328,1
12526,4,22411,0
12526,5,21559,0
12526,6,23238,1
12526,7,21257,1
12526,8,23237,1
12526,9,22621,1
12526,10,22560,0
12528,1,47591D,1
12528,2,48185,1
12528,3,47567B,1
12528,4,22649,1
12528,5,47559B,1
12528,6,22851,1
12528,7,21232,1
12528,8,22423,1
12528,9,POST,1
12528,10,20971,0
12531,1,21452,1
12531,2,20712,1
12531,3,23084,1
12531,4,22966,1
12531,5,21731,1
12531,6,22195,1
12531,7,84988,1
12531,8,22196,1
12531,9,22554,1
12531,10,22564,1
12539,1,22960,1
12539,2,20914,1
12539,3,22699,1
12539,4,22698,1
12539,5,22423,1
12539,6,22697,1
12539,7,21210,1
12539,8,22962,1
12539,9,22746,0
12539,10,84509A,0
12540,1,22620,1
12540,2,84879,1
12540,3,22746,1
12540,4,23298,1
12540,5,21754,1
12540,6,22745,1
12540,7,21668,1
12540,8,21770,1
12540,9,21671,1
12540,10,POST,1
12553,1,23389,1
12553,2,85099B,1
12553,3,22745,1
12553,4,20712,1
12553,5,22419,1
12553,6,22746,1
12553,7,23206,1
12553,8,15056BL,1
12553,9,22385,1
12553,10,21731,1
12557,1,84997C,1
12557,2,84997D,1
12557,3,84997B,1
12557,4,20728,1
12557,5,23310,0
12557,6,85049G,0
12557,7,22837,0
12557,8,15036,0
12557,9,21933,0
12557,10,22413,0
12558,1,23209,1
12558,2,23158,1
12558,3,85099B,1
12558,4,22027,1
12558,5,21507,1
12558,6,22712,1
12558,7,21508,1
12558,8,84828,1
12558,9,23344,1
12558,10,22840,0
12560,1,22725,1
12560,2,23237,1
12560,3,22630,1
12560,4,POST,1
12560,5,22727,1
12560,6,22551,1
12560,7,22726,1
12560,8,22728,1
12560,9,22629,1
12560,10,22029,1
12562,1,22662,1
12562,2,23076,1
12562,3,20726,1
12562,4,22728,1
12562,5,23203,1
12562,6,22752,1
12562,7,23199,1
12562,8,23389,0
12562,9,21929,0
12562,10,23007,0
12567,1,23289,1
12567,2,22659,1
12567,3,23254,1
12567,4,20726,1
12567,5,22630,1
12567,6,84879,1
12567,7,23206,1
12567,8,22328,1
12567,9,23199,1
12567,10,22628,1
12569,1,47567B,1
12569,2,22649,1
12569,3,21232,1
12569,4,22625,1
12569,5,POST,1
12569,6,22624,1
12569,7,21481,1
12569,8,22776,1
12569,9,22055,1
12569,10,22398,1
12572,1,22984,1
12572,2,POST,1
12572,3,22734,1
12572,4,21871,1
12572,5,22727,1
12572,6,22726,1
12572,7,22423,1
12572,8,22699,1
12572,9,22730,1
12572,10,22725,1
12578,1,22271,1
12578,2,POST,1
12578,3,22273,1
12578,4,22631,0
12578,5,22840,1
12578,6,22960,1
12578,7,22699,1
12578,8,22759,1
12578,9,23240,1
12578,10,22867,1
12583,1,21988,1
12583,2,21987,1
12583,3,22726,1
12583,4,22326,1
12583,5,21212,1
12583,6,22728,1
12583,7,22544,1
12583,8,21989,1
12583,9,23298,1
12583,10,22991,1
12584,1,21216,1
12584,2,22666,1
12584,3,22627,1
12584,4,22846,1
12584,5,21524,1
12584,6,85123A,1
12584,7,22844,1
12584,8,23243,1
12584,9,48138,1
12584,10,22667,1
12586,1,23154,1
12586,2,22720,1
12586,3,21733,1
12586,4,23176,1
12586,5,22138,1
12586,6,22845,1
12586,7,85123A,1
12586,8,22139,1
12586,9,16161U,0
12586,10,22723,0
12587,1,23200,1
12587,2,22386,1
12587,3,POST,1
12587,4,20713,1
12587,5,23132,0
12587,6,22800,0
12587,7,22842,0
12587,8,22778,0
12587,9,22957,0
12587,10,22371,0
12597,1,22780,1
12597,2,23084,1
12597,3,22804,1
12597,4,21340,1
12597,5,POST,1
12597,6,21114,0
12597,7,23266,0
12597,8,84991,0
12597,9,22469,0
12597,10,22778,1
12598,1,23389,1
12598,2,23254,1
12598,3,22970,0
12598,4,22899,0
12598,5,23256,1
12598,6,23084,1
12598,7,22636,1
12598,8,21212,1
12598,9,20750,1
12598,10,23196,1
12603,1,22423,1
12603,2,M,1
12603,3,POST,1
12603,4,21888,0
12603,5,23344,0
12603,6,22918,0
12603,7,22718,0
12603,8,84406B,0
12603,9,22697,0
12603,10,22805,0
12610,1,22595,1
12610,2,21671,1
12610,3,POST,1
12610,4,23332,1
12610,5,22813,0
