config_id,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,val_precision_10,val_recall_10,val_hitrate_10,val_ndcg_10,val_pr_auc,val_roc_auc,fit_time_sec,selected
1,200,None,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,1.75,YES (WINNER)
2,400,None,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,3.42,NO
3,200,None,2,sqrt,balanced_subsample,0.2543,0.1266,0.3068,0.2787,0.6809,0.7249,1.64,NO
4,400,None,2,sqrt,balanced_subsample,0.2316,0.1145,0.3062,0.2535,0.6876,0.7162,3.23,NO
5,200,None,5,sqrt,balanced_subsample,0.2542,0.1266,0.3068,0.2786,0.6819,0.7258,1.91,NO
6,400,None,5,sqrt,balanced_subsample,0.2317,0.1146,0.3062,0.2537,0.6894,0.7179,3.62,NO
7,200,None,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,2.3,NO
8,400,None,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,4.7,NO
9,200,None,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6805,0.7247,2.77,NO
10,400,None,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6807,0.7249,5.85,NO
11,200,None,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6809,0.7249,3.25,NO
12,400,None,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6814,0.7254,4.52,NO
13,200,12,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,1.57,NO
14,400,12,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,4.25,NO
15,200,12,2,sqrt,balanced_subsample,0.2543,0.1266,0.3068,0.2787,0.6809,0.7249,1.66,NO
16,400,12,2,sqrt,balanced_subsample,0.2316,0.1145,0.3062,0.2535,0.6876,0.7162,3.39,NO
17,200,12,5,sqrt,balanced_subsample,0.2542,0.1266,0.3068,0.2786,0.6819,0.7258,1.57,NO
18,400,12,5,sqrt,balanced_subsample,0.2317,0.1146,0.3062,0.2537,0.6894,0.7179,3.34,NO
19,200,12,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,2.23,NO
20,400,12,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,4.36,NO
21,200,12,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6805,0.7247,2.21,NO
22,400,12,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6807,0.7249,4.58,NO
23,200,12,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6809,0.7249,2.24,NO
24,400,12,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6814,0.7254,4.36,NO
25,200,20,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,1.64,NO
26,400,20,1,sqrt,balanced_subsample,0.2544,0.1267,0.3068,0.2789,0.6802,0.7243,3.19,NO
27,200,20,2,sqrt,balanced_subsample,0.2543,0.1266,0.3068,0.2787,0.6809,0.7249,1.62,NO
28,400,20,2,sqrt,balanced_subsample,0.2316,0.1145,0.3062,0.2535,0.6876,0.7162,3.08,NO
29,200,20,5,sqrt,balanced_subsample,0.2542,0.1266,0.3068,0.2786,0.6819,0.7258,1.64,NO
30,400,20,5,sqrt,balanced_subsample,0.2317,0.1146,0.3062,0.2537,0.6894,0.7179,3.12,NO
31,200,20,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,2.22,NO
32,400,20,1,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2789,0.6801,0.7243,4.25,NO
33,200,20,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6805,0.7247,2.27,NO
34,400,20,2,0.5,balanced_subsample,0.2543,0.1267,0.3068,0.2788,0.6807,0.7249,4.44,NO
35,200,20,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6809,0.7249,2.32,NO
36,400,20,5,0.5,balanced_subsample,0.2538,0.1264,0.3068,0.2783,0.6814,0.7254,4.74,NO
